,index,length_of_stay
704,2 days 21:20:00.000000000,265
705,1 days 07:10:00.000000000,265
706,2 days 02:22:00.000000000,265
707,3 days 22:00:00.000000000,265
708,0 days 22:53:00.000000000,265
709,2 days 00:44:00.000000000,265
710,2 days 00:56:00.000000000,265
711,2 days 16:45:00.000000000,265
712,3 days 04:45:00.000000000,265
713,0 days 15:15:00.000000000,265
714,1 days 22:38:00.000000000,265
715,0 days 21:52:00.000000000,264
716,3 days 06:15:00.000000000,264
717,1 days 09:05:00.000000000,264
718,1 days 20:29:00.000000000,264
719,1 days 02:24:00.000000000,264
720,2 days 02:19:00.000000000,264
721,2 days 19:05:00.000000000,264
722,0 days 16:40:00.000000000,264
723,1 days 02:18:00.000000000,264
724,3 days 00:25:00.000000000,264
725,1 days 11:30:00.000000000,264
726,1 days 00:18:00.000000000,264
727,1 days 22:29:00.000000000,264
728,1 days 05:50:00.000000000,264
729,3 days 02:40:00.000000000,264
730,2 days 00:07:00.000000000,264
731,0 days 16:35:00.000000000,264
732,1 days 23:41:00.000000000,264
733,1 days 20:12:00.000000000,264
734,2 days 01:09:00.000000000,263
735,2 days 15:15:00.000000000,263
736,1 days 06:40:00.000000000,263
737,1 days 23:59:00.000000000,263
738,1 days 21:14:00.000000000,263
739,2 days 06:40:00.000000000,263
740,1 days 19:02:00.000000000,263
741,2 days 03:16:00.000000000,263
742,2 days 00:34:00.000000000,263
743,0 days 15:30:00.000000000,263
744,0 days 21:57:00.000000000,263
745,1 days 14:25:00.000000000,263
746,2 days 08:20:00.000000000,263
747,1 days 23:38:00.000000000,263
748,2 days 01:01:00.000000000,263
749,1 days 07:50:00.000000000,263
750,1 days 22:09:00.000000000,263
751,2 days 01:02:00.000000000,263
752,2 days 07:25:00.000000000,263
753,2 days 00:06:00.000000000,263
754,1 days 01:12:00.000000000,263
755,1 days 21:52:00.000000000,262
756,2 days 00:41:00.000000000,262
757,1 days 16:25:00.000000000,262
758,2 days 19:20:00.000000000,262
759,0 days 23:28:00.000000000,262
760,1 days 23:11:00.000000000,262
761,2 days 06:35:00.000000000,262
762,1 days 23:12:00.000000000,262
763,1 days 21:24:00.000000000,261
764,1 days 21:44:00.000000000,261
765,0 days 22:03:00.000000000,261
766,1 days 20:42:00.000000000,261
767,0 days 17:35:00.000000000,261
768,0 days 23:51:00.000000000,261
769,1 days 21:33:00.000000000,261
770,2 days 19:35:00.000000000,261
771,2 days 01:29:00.000000000,261
772,1 days 21:54:00.000000000,261
773,3 days 23:15:00.000000000,261
